,0
2010-08-01,2.1155742138183413
2010-08-02,5.284326654819832
2010-08-03,3.009620639142205
2010-08-04,2.217405789914781
2010-08-05,2.0969330131687682
2010-08-06,1.498927572947383
2010-08-07,1.7610701219197031
2010-08-08,2.2979611763978394
2010-08-09,2.690572888544282
2010-08-10,3.7831531743292914
2010-08-11,3.1150153667374796
2010-08-12,1.2624523516145465
2010-08-13,3.9288231664304667
2010-08-14,2.7316067876541505
2010-08-15,2.3298534960041852
2010-08-16,1.6913027304826984
2010-08-17,2.9387205187404666
2010-08-18,3.2379194042940327
2010-08-19,3.484336594410472
2010-08-20,1.43099692594608
2010-08-21,2.3524723312466227
2010-08-22,2.3221090524606596
2010-08-23,3.718774391590174
2010-08-24,6.616106618491193
2010-08-25,1.950975490587806
2010-08-26,1.2317234749188275
2010-08-27,3.100386046648185
2010-08-28,6.126522044927557
2010-08-29,3.1809714691945548
2010-08-30,1.4443373010090017
2010-08-31,5.38795745697085
