,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h
2010-08-11,9332.7109375,9121.037109375,8911.2890625,8717.80078125,8444.1865234375,8053.4814453125,7740.2451171875,7498.2646484375,7370.2978515625,7370.2880859375,7483.580078125,7871.58251953125,8381.833984375,9172.15234375,9940.2802734375,10345.478515625,10752.375,10893.451171875,10824.0107421875,10830.42578125,10768.25,10691.728515625,10590.7255859375,10442.5146484375,10356.853515625,10284.859375,10196.2431640625,10148.9580078125,10074.7880859375,10037.900390625,10003.994140625,10004.4873046875,10100.5556640625,10274.720703125,10588.01953125,11024.5009765625,11586.7373046875,11655.3876953125,11587.1689453125,11361.529296875,11178.505859375,10997.7392578125,10758.2197265625,10476.0751953125,10094.4482421875,10059.23828125,9750.63671875,9555.310546875
2010-08-12,9271.0986328125,9109.0302734375,8899.1728515625,8741.9912109375,8487.1435546875,8104.32763671875,7770.2744140625,7476.22900390625,7329.36572265625,7306.310546875,7414.09814453125,7769.02685546875,8245.3154296875,9135.91796875,9931.5986328125,10350.31640625,10752.703125,10861.5458984375,10711.2060546875,10728.896484375,10629.0849609375,10529.4443359375,10410.6513671875,10283.078125,10149.6044921875,10079.8271484375,9965.9853515625,9899.4599609375,9832.0537109375,9816.36328125,9729.6220703125,9757.7353515625,9865.3505859375,10088.6650390625,10425.1513671875,10980.490234375,11655.662109375,11828.607421875,11743.408203125,11508.470703125,11299.896484375,11131.2080078125,10924.5244140625,10590.732421875,10168.25,10159.884765625,9832.025390625,9663.5703125
2010-08-13,9447.8818359375,9268.2392578125,9054.7685546875,8891.6484375,8625.95703125,8227.015625,7880.5927734375,7578.29248046875,7422.48388671875,7385.376953125,7480.5283203125,7824.38623046875,8295.326171875,9172.845703125,9969.0673828125,10405.216796875,10834.0849609375,10955.9921875,10820.65234375,10837.0107421875,10737.970703125,10635.703125,10506.7021484375,10363.552734375,10231.0810546875,10152.9833984375,10038.83984375,9967.5263671875,9895.2470703125,9871.27734375,9790.8310546875,9814.9609375,9929.0068359375,10160.220703125,10515.1240234375,11083.0498046875,11781.4130859375,11954.318359375,11870.126953125,11627.408203125,11421.3876953125,11254.3798828125,11046.9677734375,10707.0537109375,10282.48046875,10262.16796875,9924.7783203125,9746.1533203125
2010-08-14,9224.5498046875,9074.6171875,8818.228515625,8613.78125,8299.8408203125,7930.193359375,7598.13330078125,7250.583984375,7071.62158203125,6984.77978515625,6999.07177734375,7094.193359375,7272.77587890625,7789.822265625,8233.623046875,8679.2099609375,9141.43359375,9469.8330078125,9480.099609375,9661.61328125,9563.0263671875,9485.7197265625,9328.2802734375,9240.2099609375,9045.0517578125,8969.8759765625,8817.794921875,8707.1708984375,8637.6767578125,8625.3291015625,8523.0771484375,8564.4619140625,8678.2109375,8861.626953125,9141.4921875,9613.3818359375,10235.375,10549.6162109375,10499.2763671875,10342.9365234375,10145.619140625,10010.439453125,9889.29296875,9629.201171875,9321.5556640625,9318.9599609375,9038.6171875,8917.0654296875
2010-08-15,8619.48828125,8460.1962890625,8236.0146484375,8052.7119140625,7787.4921875,7457.12890625,7162.5888671875,6869.55322265625,6722.08642578125,6626.44140625,6601.15576171875,6622.4970703125,6714.94921875,7114.8271484375,7451.26220703125,7904.65673828125,8389.751953125,8772.1591796875,8864.458984375,9124.9951171875,9065.697265625,9018.73046875,8899.5078125,8826.9697265625,8658.19921875,8596.9970703125,8464.6357421875,8342.9169921875,8283.87890625,8287.5458984375,8170.91796875,8223.279296875,8327.5869140625,8509.5576171875,8769.0107421875,9210.1044921875,9808.82421875,10155.19140625,10075.5107421875,9921.3251953125,9718.0830078125,9593.9169921875,9476.98828125,9192.0029296875,8904.7734375,8906.8662109375,8670.1025390625,8568.671875
2010-08-16,8236.947265625,8083.70849609375,7921.25244140625,7793.02880859375,7604.720703125,7299.73876953125,7048.345703125,6856.462890625,6774.42138671875,6795.93310546875,6905.36572265625,7249.92578125,7694.94140625,8481.1171875,9187.8662109375,9560.4169921875,9923.1416015625,10051.7392578125,9982.005859375,10054.83203125,10020.60546875,9974.9541015625,9929.271484375,9848.4765625,9766.7783203125,9731.0947265625,9651.6826171875,9611.89453125,9557.451171875,9563.19921875,9476.9326171875,9508.5908203125,9590.4423828125,9770.6123046875,10033.41015625,10482.03515625,11018.8955078125,11160.8740234375,11053.486328125,10825.880859375,10621.70703125,10449.900390625,10219.283203125,9897.662109375,9500.890625,9518.6611328125,9257.3994140625,9119.51171875
2010-08-17,8872.9853515625,8717.453125,8514.263671875,8341.5556640625,8095.3623046875,7760.55029296875,7481.85205078125,7245.9736328125,7150.26513671875,7184.3818359375,7334.28125,7758.88232421875,8285.5283203125,9154.7236328125,9932.5146484375,10309.46875,10651.5419921875,10746.9306640625,10606.7783203125,10620.0380859375,10546.2099609375,10467.1376953125,10395.921875,10297.1591796875,10196.1474609375,10150.595703125,10063.349609375,10026.0966796875,9972.11328125,9958.4794921875,9890.314453125,9925.0869140625,10005.4716796875,10173.8193359375,10431.9599609375,10856.888671875,11377.55859375,11479.40234375,11386.927734375,11186.94140625,10995.291015625,10807.30859375,10570.5390625,10284.3291015625,9888.25,9887.400390625,9583.7705078125,9417.1962890625
2010-08-18,9401.74609375,9266.19921875,9039.080078125,8879.3935546875,8609.0634765625,8226.2587890625,7875.99560546875,7541.76171875,7384.38525390625,7349.36181640625,7456.41357421875,7794.2177734375,8242.2001953125,9167.681640625,9954.478515625,10383.0283203125,10779.701171875,10885.8203125,10689.5712890625,10716.88671875,10585.4970703125,10464.57421875,10328.8486328125,10212.5400390625,10045.125,9974.8505859375,9843.9130859375,9762.5751953125,9700.8798828125,9692.0888671875,9579.7119140625,9629.0576171875,9739.3935546875,9975.5498046875,10306.2646484375,10895.6103515625,11603.962890625,11835.3623046875,11746.2421875,11530.013671875,11316.9697265625,11150.244140625,10967.3232421875,10629.419921875,10202.857421875,10205.109375,9861.169921875,9700.45703125
2010-08-19,9091.681640625,8967.240234375,8718.9462890625,8507.27734375,8206.12890625,7856.3935546875,7539.99853515625,7236.1279296875,7095.71630859375,7072.28759765625,7160.6826171875,7405.29541015625,7711.65771484375,8385.41015625,8945.6875,9340.3984375,9709.6181640625,9936.201171875,9856.6552734375,9970.7392578125,9865.919921875,9771.9150390625,9643.4326171875,9570.8779296875,9405.9755859375,9347.787109375,9220.935546875,9129.8486328125,9078.1806640625,9077.275390625,8974.400390625,9020.8427734375,9108.431640625,9262.93359375,9490.3095703125,9901.701171875,10429.6982421875,10655.6669921875,10607.3447265625,10462.919921875,10280.53125,10114.2919921875,9961.0634765625,9727.9228515625,9407.08984375,9421.6875,9143.1357421875,9005.37890625
2010-08-20,8521.1962890625,8408.7412109375,8186.21484375,7990.4033203125,7726.2529296875,7422.869140625,7156.51318359375,6916.2841796875,6819.513671875,6840.10595703125,6952.49951171875,7237.56298828125,7575.55908203125,8240.5302734375,8794.1181640625,9151.1875,9473.673828125,9679.23046875,9613.8232421875,9732.8505859375,9661.251953125,9592.8544921875,9512.42578125,9468.4951171875,9337.75390625,9303.2919921875,9196.7294921875,9131.7958984375,9088.2236328125,9099.767578125,9000.4931640625,9049.5419921875,9118.71875,9243.078125,9420.2353515625,9762.3369140625,10193.5263671875,10373.6513671875,10312.283203125,10173.951171875,9995.314453125,9820.373046875,9641.37890625,9421.5263671875,9106.6396484375,9139.158203125,8893.2119140625,8766.1171875
