,0
2008-06-01,4.017632666331084
2008-06-02,3.5953244966587063
2008-06-03,2.323964108338554
2008-06-04,5.960018835148099
2008-06-05,8.711108269182327
2008-06-06,3.2996955519280466
2008-06-07,3.1817179966278935
2008-06-08,3.313303099596978
2008-06-09,4.721555466292701
2008-06-10,7.671042405312837
2008-06-11,3.6696016492226833
2008-06-12,5.27021671409608
2008-06-13,4.4325196335329
2008-06-14,7.023966853523188
2008-06-15,3.4185951221298825
2008-06-16,6.099904335822835
2008-06-17,4.346453173054274
2008-06-18,1.9788729384655566
2008-06-19,1.5542091864276786
2008-06-20,2.8616156493485496
2008-06-21,3.124286606671704
2008-06-22,3.7379782711100673
2008-06-23,10.372815302568181
2008-06-24,4.804928037139819
2008-06-25,3.742126320396895
2008-06-26,5.103325767314228
2008-06-27,3.5132457513223794
2008-06-28,2.2731867654181883
2008-06-29,2.4763784516600107
