,0
2008-06-01,3.095248979756551
2008-06-02,2.6721193258508964
2008-06-03,2.8726776617484626
2008-06-04,6.722310382122439
2008-06-05,8.179396893131715
2008-06-06,3.536450798593685
2008-06-07,3.446268951887104
2008-06-08,3.6341374173325653
2008-06-09,6.373645494228029
2008-06-10,4.063431641149872
2008-06-11,2.4590438804373624
2008-06-12,4.525076665871847
2008-06-13,3.418759795587557
2008-06-14,7.566993850019117
2008-06-15,1.8391379101628584
2008-06-16,6.9493503380559165
2008-06-17,3.4761931654425564
2008-06-18,2.3119939160282854
2008-06-19,1.9655629451257266
2008-06-20,3.07493766801854
2008-06-21,2.796085897536364
2008-06-22,5.272891406272388
2008-06-23,6.214215864592143
2008-06-24,4.834423956120063
2008-06-25,3.2779216829736035
2008-06-26,5.076093681085287
2008-06-27,2.5088077933155013
2008-06-28,2.8431160939898077
2008-06-29,3.863258758974011
