,0
2021-08-01,5.337619846816283
2021-08-02,1.3698945033629708
2021-08-03,1.3069389589502536
2021-08-04,1.2154735030460802
2021-08-05,0.7715830382911154
2021-08-06,1.375907246758734
2021-08-07,3.7149906190694306
2021-08-08,2.886101876291253
2021-08-09,2.6460014637752733
2021-08-10,5.3673474217989074
2021-08-11,3.184284418862101
2021-08-12,3.69361242846308
2021-08-13,2.5261053282635384
2021-08-14,2.2270583093798004
2021-08-15,5.741778703598138
2021-08-16,1.3978532172236546
2021-08-17,1.477561248317541
2021-08-18,1.6318222476332633
2021-08-19,2.576341589668538
2021-08-20,1.966267779747279
2021-08-21,4.477035834549467
2021-08-22,2.889617557039439
2021-08-23,2.802635801442617
2021-08-24,3.275854745510451
2021-08-25,3.86924700553309
2021-08-26,1.4497921730753016
2021-08-27,3.9448517890735606
2021-08-28,2.2175220640148994
2021-08-29,3.5503775228796908
2021-08-30,1.9603113218320787
2021-08-31,1.092116513385448
